listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.ebay.com/itm/226919231938?hash=item34d570b1c2%3Ag%3AHkEAAOSwieBnwMmU&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-26T19:14:57.301028,2025-08-26T19:14:57.413474,1.0,2010,1.0,"$41,000",1.0,130,1.0,Cayman Base,1.0,White,Tan,1.0,1.0,AutoTempest,1.0,0,0,,
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0AB2A88BU780243/?referrer_id=autotempest,2025-08-26T19:14:57.301192,2025-08-26T19:14:57.415453,1.0,2011,1.0,"$44,973",1.0,"71,161",1.0,Cayman S,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,300,technology,BOSE Surround Sound
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.carvana.com/vehicle/lt/3775010?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20250826_3896393,2025-08-26T19:14:57.301337,2025-08-26T19:14:57.417697,0.7142857142857143,2012,1.0,"$38,627",1.0,"9,000",1.0,Cayman Base,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,400,exterior,"18–19"" Upgraded Wheels"
14,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dccb8902-a155-44e3-bf33-6f563cb8bb77/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.301720,2025-08-26T19:14:57.419690,1.0,2012,1.0,"$29,900",1.0,"86,375",1.0,Boxster S,1.0,Aqua Blue Metallic,TAN,1.0,1.0,AutoTempest,1.0,0,3600,"exterior, technology, seating, performance, convenience","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, Limited Slip Differential (LSD), Park Assist, PCM w/ Navigation, Sport Exhaust (PSE), 18–19"" Upgraded Wheels"
15,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/bd944391-c66a-48cc-956e-deb2de745d0a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.301857,2025-08-26T19:14:57.435470,1.0,2011,1.0,"$19,997",1.0,"82,539",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,1450,"exterior, technology, seating","Bi-Xenon Headlights with Dynamic Cornering, PCM w/ Navigation, Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels"
16,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9911a576-8804-4fd7-a62d-61ca63768259/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.301991,2025-08-26T19:14:57.445738,1.0,2009,1.0,"$39,999",1.0,"14,832",1.0,Boxster S,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,2200,"exterior, technology, seating, performance","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, PCM w/ Navigation, Sport Exhaust (PSE), 18–19"" Upgraded Wheels"
17,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/bef1535e-4d4d-481e-8ca8-4e69dd69d141/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.302116,2025-08-26T19:14:57.458969,1.0,2011,1.0,"$30,800",1.0,"76,250",1.0,Boxster S,1.0,Gray,Gray,1.0,1.0,AutoTempest,1.0,0,2700,"exterior, technology, seating, performance","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, PCM w/ Navigation, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels"
18,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d58b0ed4-43af-43c6-aec4-1fec0d7b3dfc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.302245,2025-08-26T19:14:57.477939,1.0,2011,1.0,"$41,998",1.0,"43,076",1.0,Boxster S,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,3750,"exterior, technology, performance, seating","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Limited Slip Differential (LSD), PCM w/ Navigation, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels"
19,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/00913ac2-c363-4c68-be09-13193ee12b64/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.302364,2025-08-26T19:14:57.494898,1.0,2010,1.0,"$26,992",1.0,"33,497",1.0,Boxster Base,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,800,"exterior, seating","Bi-Xenon Headlights with Dynamic Cornering, Heated Seats, 18–19"" Upgraded Wheels"
20,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/571de632-1f0c-428d-808c-a1e93e992e13/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.302480,2025-08-26T19:14:57.502162,1.0,2012,1.0,"$19,499",1.0,"105,081",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,2400,"exterior, seating, technology, performance","Bi-Xenon Headlights with Dynamic Cornering, Heated Seats, PCM w/ Navigation, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels"
21,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/5478a97d-5d9b-4b8c-9063-147503a1631e/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.302617,2025-08-26T19:14:57.521475,1.0,2010,1.0,"$17,987",1.0,"116,045",1.0,Boxster Base,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,2400,"exterior, technology, seating, performance","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels"
22,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/c2112af7-00a0-49bf-9278-d9e6f627d93e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T19:14:57.302734,2025-08-26T19:14:57.543416,1.0,2011,1.0,"$32,999",1.0,"80,000",1.0,Boxster Base,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,0,,
23,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.ebay.com/itm/306463169067?hash=item475aa0da2b%3Ag%3ABv4AAOSwQS9oWly0&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-26T19:14:57.302851,2025-08-26T19:14:57.544721,1.0,2009,1.0,"$14,995",1.0,103,1.0,Boxster Base,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,0,,
24,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A85BS730081/?referrer_id=autotempest,2025-08-26T19:14:57.303007,2025-08-26T19:14:57.546466,1.0,2011,1.0,"$30,190",1.0,"100,159",1.0,Boxster S,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,0,,
25,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA29899U710776/?referrer_id=autotempest,2025-08-26T19:14:57.303122,2025-08-26T19:14:57.548119,1.0,2009,1.0,"$27,990",1.0,"59,236",1.0,Boxster S,1.0,Midnight Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,,
26,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA2A84AS710096/?referrer_id=autotempest,2025-08-26T19:14:57.303237,2025-08-26T19:14:57.550086,0.7142857142857143,2010,1.0,"$33,995",1.0,"8,450",1.0,Boxster S,1.0,Unknown,Unknown,1.0,1.0,AutoTempest,1.0,0,0,,
27,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A87AS730095/?referrer_id=autotempest,2025-08-26T19:14:57.303353,2025-08-26T19:14:57.552098,1.0,2010,1.0,"$33,700",1.0,"39,587",1.0,Boxster S,1.0,Gt Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,,
28,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB298X9U730175/?referrer_id=autotempest,2025-08-26T19:14:57.303468,2025-08-26T19:14:57.553994,1.0,2009,1.0,"$29,990",1.0,"58,616",1.0,Boxster S,1.0,Aqua Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,,
